page,text,image_id
23,tỉnh táo,D0300
23,nhộn nhịp (đông người),D0301
23,áo kẻ sọc,D0302
23,đất nước bị chia cắt (Việt Nam),D0303
23,thống nhất đất nước,D0304
23,khoáng sản,D0305
23,thương mại,D0306
23,công nghiệp,D0307B
23,công nghiệp,D0307N
24,công nghiệp,D0307T
24,dân tộc Chăm,D0308
24,dân tộc Mường,D0309
24,dân tộc Khơ me,D0310
24,dân tộc Thái,D0311
24,dân tộc Mông,D0312
24,nhà rông,D0313
24,lãng phí,D0314
24,tiến bộ,D0315
24,Lượm,D0316
24,cứu sống,D0317
24,máy xúc,D0318
24,cảng Hải Phòng,D0319
24,cảng Sài Gòn,D0320
24,kim cương,D0321
24,phân biệt,D0322
24,không bình đẳng,D0323
24,đùm bọc,D0324
24,khởi nghiệp,D0325
24,vải lụa,D0326B
25,vải lụa,D0326N
25,vải lụa,D0326T
25,lượt đi,D0327
25,lượt về (trong thể thao),D0328
25,rau diếp cá,D0329
25,rau ngò/rau mùi,D0330
25,thao thức,D0331
25,thâm quầng mắt,D0332
25,tự hào,D0333
25,quyên góp,D0334
25,chia rẽ,D0335
25,tự trọng,D0336
25,gian dối,D0337
25,ăn bám,D0338
25,tuyên truyền,D0339
25,thịnh vượng,D0340
25,lấm lem,D0341
25,ham chơi,D0342B
25,ham chơi,D0342N
25,ham chơi,D0342T
26,đánh cầu lông,D0343
26,cánh buồm,D0344
26,cầu Thê Húc (Hồ Gươm),D0345
26,da trắng,D0346B
26,da trắng,D0346N
26,da trắng,D0346T
26,da ngăm (nước da ngăm đen),D0347B
26,da ngăm (nước da ngăm đen),D0347N
26,da ngăm (nước da ngăm đen),D0347T
26,tuần trăng mật,D0348
26,năm tới,D0349
26,Hoãn,D0350
26,huỷ,D0351
26,phụ thuộc,D0352
26,thuộc địa,D0353
26,tẩy chay,D0354
26,đau mắt,D0355
26,đau bụng,D0356
26,đau tay,D0357
26,đau chân,D0358
27,đau tai,D0359
27,phẫu thuật tay,D0360
27,phẫu thuật chân,D0361
27,phẫu thuật mắt,D0362
27,phẫu thuật mũi,D0363
27,phẫu thuật cổ,D0364
27,phẫu thuật bụng,D0365
27,bệnh phong/cùi,D0366
27,hội chứng Đao - Down,D0367
27,bệnh Đao - Down,D03671
27,mệt mỏi,D0369
27,mệt không?,D0370
27,đói không?,D0371
27,cả ngày,D0372
27,chiên/rán (1)(2),D0373
27,nướng,D0374
27,luộc,D0375
27,xào,D0376
27,lẩu,D0377
27,gỏi/nộm,D0378
28,nhà kho,D0379
28,hấp,D0380
28,thối,D0381
28,thiu,D0382
28,nguội,D0383
28,ngán,D0384
28,tôm hùm,D0385
28,cua đồng,D0386
28,con hàu,D0387
28,hải sản,D0388
28,vịt quay,D0389
28,gà nướng lu,D0390
28,bánh hamburger,D0391
28,bánh sandwich,D0392
28,bánh canh,D0393
28,miến,D0394
28,"nước ép (cam, cà chua,..)",D0395
28,nước ép trái cây,D0396B
28,nước ép trái cây,D0396N
28,nước ép trái cây,D0396T
29,"sinh tố (bơ, dâu,..)",D0397
29,vắt chanh,D0398
29,mía,D0399
29,chanh đá,D0400
29,chanh nóng,D0401
29,chanh muối,D0402
29,trà đá,D0403
29,trà nóng,D0404
29,trà sữa,D0405
29,Socola,D0406
29,Cocacola,D0407
29,7up,D0408
29,một tiết học,D0409
29,một tiếng,D0410B
29,một tiếng,D0410N
29,một tiếng,D0410T
29,chung tay,D0411
29,rửa chân,D0412
29,rửa mặt,D0413
29,đánh răng,D0414
30,tuần này,D0416B
30,tuần này,D0416N
30,tuần này,D0416T
30,tuần sau,D0417B
30,tuần sau,D0417N
30,tuần sau,D0417T
30,tuần trước,D0418B
30,tuần trước,D0418N
30,tuần trước,D0418T
30,cuối tuần,D0419
30,cuối tháng,D0420
30,cuối năm,D0421
30,mục tiêu,D0422
30,sinh đôi,D0423B
30,sinh đôi,D0423N
30,sinh đôi,D0423T
30,đôi/cặp,D0424
30,Đảng,D0425
30,mô tả,D0426
30,mũm mĩm,D0427
31,tóc dài,D0428
31,tóc ngắn,D0429B
31,tóc ngắn,D0429N
31,tóc ngắn,D0429T
31,tổng kết/bế giảng,D0430B
31,tổng kết/bế giảng,D0430N
31,tổng kết/bế giảng,D0430T
31,lốc xoáy,D0431
31,tay chân sạch sẽ,D0432B
31,tay chân sạch sẽ,D0432N
31,tay chân sạch sẽ,D0432T
31,nhắm mắt,D0433
31,sờ,D0434
31,cây nến,D0435
31,dịu dàng,D0436
31,đùa,D0437B
31,đùa,D0437N
31,đùa,D0437T
31,làm được,D0438
31,dòng sông chảy,D0439
32,ăn đủ,D0440
32,ăn vừa,D0441
32,ăn ít,D0442
32,đồ uống,D0443
32,đồ ăn,D0444
32,trang điểm,D0445
32,đau mắt đỏ,D0446
32,cái vợt cá,D0447
32,vợt cầu lông,D0448
32,con vượn,D0449
32,thắp đèn,D0450
32,góp tiền,D0451
32,họp nhóm,D0452B
32,họp nhóm,D0452N
32,họp nhóm,D0452T
32,nhút nhát,D0453
32,luộc rau,D0455
32,muối,D0456
32,nước mắm,D0457
32,thoăn thoắt,D0458
33,nghênh nghênh (đầu),D0459
33,đua đòi,D0460
33,bình sữa (em bé),D0461
33,đòi,D0462
33,đòi hỏi,D0463
33,trẻ con/con nít,D0464B
33,trẻ con/con nít,D0464N
33,trẻ con/con nít,D0464T
33,duy nhất,D0465
33,cạnh tranh,D0466
33,hoa hậu,D0467
33,cái neo,D0468
33,phóng viên,D0469
33,nhà văn hóa,D0470B
33,nhà văn hóa,D0470N
33,nhà văn hóa,D0470T
33,chùa Yên Tử,D0471
33,chõ xôi,D0472
33,cây cọ,D0473
33,khu vực cách ly,D0474
34,phong toả,D0475
34,thung lũng,D0477
34,địa hình,D0478
34,Kim Đồng,D0479
34,Thánh Gióng,D0480
34,hoa giấy,D0481
34,hoa dâm bụt,D0482
34,kết luận,D0483
34,internet,D0484
34,nhà vệ sinh,D0485
34,đi vệ sinh,D0486
34,hoa mai,D0488
34,a,D0489
34,ă,D0490B
34,ă,D0490N
